,comment,toxic
24,почему быдло ненавидит сжв движение ? цели благородны несут пользу равноправие видимо правачье быдло застряло суевериях средневековья хочет принимать современную действительность,1
25,влиятельным особо обзавелся хомячками пятачками,1
26,барины рабам двух словах умещается всё мировоззрение пидорашек именно две извилины мозгу пидорах отвечают проецирование данных слов союзные украинско-американские отношения сосач познавательный мире животных,1
27,запретить рабочий день 8 часов ? отчасти именно выступали рабочие 19-20ом веке выходили стачки революции именно благодаря трудовой инспекции такие комфортные условия труда иначе 18 часов работодателей нравится - иди нахуй будут какие-нибудь гастеры которые будут 3 копейки работать,1
28,отправим тарасов гулаги пануют пускай воркуте пусть строят мосты доходяги смотрят канал орт !,0
29,месяц назад бухал одним хохлом казахстана оренбурге рф учится говорит назарбаев власти местным нацикам сказал баям ? дал уйдет - хз ща проверит сказал мусульмане очень относительные - зарезал свинью - главные покупатели казахи,1
30,предлагаю пидорнуть хохлов хохлы имеют отношения политике постят всякую хуйню безграмотную блевотную,1
31,ряяяге сука ссыкливая скажи лицо,1
32,че пацаны ники какие твиче знать кем чалишься параше,1
33,удивлён лойс ирл сняли второй таким сталкиваюсь хотя сомневался словах,1
34,почему хохол ? наоборот поддерживаю вечное правление путина россии лучший президент время существования рф,1
35,дякую тоб боже що москаль,0
36,нахуй ментам именно российское железо ? гостайной работают ? управляют какими-то критичными процессами ? короче лябурахи очередной хайпанули немножечко,0
37,верните крыму украину !,0
38,верно ! анафема гоблядям !,1
39,тупой пиздец сегодня хуярят алкашей рад завтра будут хуярить шмот будешь рад таскаешь шмот послезавтра будут хуярить просто чем-то кому-то понравился ныть поздно,1
40,враги путина клоун блядь враг пыни ? ? ? сисян политический противник пыни порно-политический анальчик,0
41,также еды части советского района,1
42,93го года пока хохлы коленях вымолили,1
43,понимаю аналог твича ?,1
44,лет 13 смотрел курорте имел доступа компьютеру хуйлан единственный играл the forest 13 перестал смотреть,1
45,чет проигрываю лебирах которые серьез верят интернет отлючат ракеты заводы работают российском китае впн угодно выйти,1
46,долбоеб ? рассматриваю ситуацию позиции националистов егорка пыню бугуртит пуще твоих навальнят целом ненавистные чекисты самого нулевых годов подавляют националистическое движение,1
47,шлюха ебется ! шок ! сенсация ! нахуя канале двача постить ?,0
48,вчера десять комментариве оставил исчезли ! пометного треде нашел ! проклятая абизьяна !,1
49,совковая привычка подтирали жопу газетам думаешь пидорашек украине сих пор совковые привычки ? видимо киевской руси своя стать никуда бумага остаётся складках образуя духовность планете просвинин,0
50,кривом роге межрегиональном центре переподготовки уволенных запас военнослужащих произошло чп восемнадцатилетний парень получил смертельную травму попытке перебраться забор общежитие будучи нетрезвым сообщило издание весь кривой рог ночного распития алкоголя 19 марта товарищи довели нетрезвого общежития училища однако оно закрыто парня пришлось перетаскивать металлический забор процессе поранился ученик рассказал медсестре медицинский работник училища осмотрела студента следующее утро обработала повреждение ране уделили особого внимания посчитали незначительной несколько часов потерпевшему стало плохо товарищи вызвали скорую врачи госпитализировали студента критическом состоянии больнице сразу прооперировали оказалось задет желудочек сердца - информирует издание операции пострадавший находился реанимации тяжелом состоянии коме третьей степени искусственной вентиляции легких утром 21 марта умер парень приехал учиться межрегиональный центр села херсонской области родителей парня осталась сестра полиция кривого рога открыла уголовное производство факту смерти человека,1
51,открытому пиздабольству детектятся именно русские факт подтвердил постами выше дегенерат руссачок хуя русня ? скорее хохлом завовусь скотоублюдком,1
52,шаболда уровня легалпорно,1
53,нищий маргинальный тупой завистливый рагуль ?,1
54,будут немного отличатся русских целом носы крупнее лицо голову,1
55,мальчик девочка зеленой майке ? напоил ... :3,0
56,нахуй шок выдумал уебок ещё цп забанят твоем маня-шок треде ? скоро будешь бан ловить свои скримеры сучье отродье,1
57,стас ебал батю ежи весь хер своей жопой выебал,1
58,отписаться заскринить потомков кста почему леприкона модерах сидих лютый хейтер чмодья ?,1
59,ересь кек расшифровка пердежа педофилия - стопроцентная хрень получается слушайте ! творчество толеньки абстракционизм потребляете ? типа детали-какашульки важны внюхивайся ищи уничтожение отклике подсознания могло объяснить ваше пристрастие принять какой-то мере,1
60,бля заебал всякой бочке затычка нестиранные штаны дальнейшем увидим ?,1
61,традиционный гей-четверг делаем пузыри рыбами космосе,1
62,? чурками ебаться ?,1
63,ага движуха всем муслимским кавказским обезьянам скоро бошки отрезать начнут,1
64,охуенно нам каклы понаехали хлопал хохляндскую пизду шлёп-шлёп-шлёп,1
65,союз дети скрепляют твоя шлюха,1
66,расскажите дадите расскаж ите йте расскаж ете дад ите пишите правильно ебаные дебилы 3,0
67,ворона кар-кар-кар-кар-кар-кар-кар ... петух рококо,1
68,считаю стоит ограничиваться столицей нужно города казахстана переименовать нурсултан,0
69,негр тупой,1
70,бутылированный хохол 100,0
71,- шизоида большинство постов теме,1
72,реакция видос беруши ни-бам-бит ! ! !,1
73,фортнайт пабги тому пример wrong годность определяется исключительно личными вкусами потребителя корректнее рассматривать успешность рынке показательно бесплатный фортнайт выбил землю из-под ног пабга хотя прибыль обеих игр большей части шла микротранзакций случае ведьмаков практичнее воспитывать вкус потребителя нежели пиздить палкой принуждать что-то делать найми юриста приди фирму составьте подробный контракт фиксирующий обмен имеющихся чертежей деньги идеи привязать физическому объекту физические объекты легче правильно рассмотреть стороны закона возьмут чертежи выплатят деньги - идешь суд заявлением невыполненном контракте суд идет восстанавливает справедливость,1
74,дает уродится косоглазо пиздоглазый даун т.е руццкий,1
75,песня бухло ррряя деус вульт,1
76,2 часа ел одно говно ушами глазами осилятор обосрался осилил дефекацию,1
77,ух удмуртская мартышка пытается перефорсы забавно,0
78,ебать какокое убогое поделие,0
79,равно быдлоалкаша митинского радиорынка,1
80,видеть государственных расходах свои деньги ага многоэтажных дворцах всяких пидоров свои деньги видят,1
81,весело живут ребята весело живут ребята весело живут ребята весело живут ребята весело живут ребята весело живут ребята весело живут ребята весело живут ребята весело живут ребята весело живут ребята весело живут ребята весело живут ребята весело живут ребята весело живут ребята весело живут ребята весело живут ребята весело живут ребята весело живут ребята весело живут ребята весело живут ребята,1
82,стас кавказец ? посмотрите хачевскую морду !,1
83,либо знаешь правил русского языка либо шизофреник - предикатив отрицающий факт существования настоящем времени обосрался понимаешь ? контекст причем глупенький просто понимаешь такое контекст видимо ... поводу владимир новгородским князем никто спорит новгорода историк мамкин начал противопоставление владимир новгорода приехал кого ебал носом ткнули отцу киева матери лбюича другое новгород цепляешься новгород считаешь имеет отношение российской федерации ровно такое отношение украине имеет киев любич свободен беги зашивать очко шаблон,0
84,фича вообще двач является публичным сайтом публично заявленными правилами публично заявленным слоганом свободное общение - публичные слова нужно отвечать публично что-либо обещал данном случае абу должен ответить свои слова - либо пиздобол факту моча собирается соблюдать некий бонус дискуссии - позволяший устранить опонента дискуссии причине недостатка аргументов своём приватном личном бложике сяк - угодно публично нарушенное обязательство выставляет абу пиздоболом,1
85,жопедч хыыыыыыыыыыыыы соглыыы дотер пишити айди будем катать катки,0
86,хочет бумажки читать плюс язык оригинальный английский поменять каких-то модов добавить,1
87,видно далеко дона петушило нелепую хуйню постишь,1
88,народ сознательно продал идеи равенства сто сортов колбасы бумаги хотели капитализма - получите думали как-то иначе ?,1
89,росстат апреле представит новую методологию расчета денежных доходов населения заявил руководитель службы павел малков возможности пересмотра расчета реальных доходов населения сообщал ведомостям министр экономического развития максим орешкин пообещав организовать максимально публичное обсуждение нынешней методике росстата доходы россиян падали пять лет подряд 2014 2018 г учетом 5000 руб. выплаченных пенсионерам 2017 г сих пор остаются ниже докрымского 2013 года,0
90,пшел нах чертос ссаный своим камидаундзедидом,1
91,привезли мку ашоту хозяин железной горы,1
92,людей гораздо свободы выбора животных,1
93,курсе каргокульты самолеты построены весьма реалистично практически масштабе 1 1,1
94,дичь какая-то человек придумает,0
95,шизофреникам весна приходит чуток раньше !,0
96,сотрудничает огромная куча компаний британии ес британия выйдет договора поставки налоги ... придётся составлять новых условиях,1
97,раньше удобно документы практически одного формата - сложил бумажник попиздовал придумал свидетельство рождении браке хочется разорвать конями,1
98,"осталось подождать 8,5 лет ...",0
99,молоко силоса горчит горький привкус проявиться созревания сыра результате развития маслянокислых бактерий другая история,0
100,институте предстоял экзамен шумной компашкой смотрели хокейный матч прямом эфире пили водку самого утра институте всеми симптомами похмелья аудиторию экзамен поехал лифте счастливой случайности преподаватель пока поднимались нужный этаж выяснился факт наша группа сдаёт второй половине дня след этим фраза давай зачётку,1
101,отдел маркетинга сработал,1
102,недавно отдыхал оаэ отвесил непристойные шутку женщине - схлопотать штраф 5000 долларов потрогал против её воли - раза выше процентов 80 проживающих - мигранты индии прочих беднющих государств которые показалось живут прилично хуже наших гастеров количество убийств 10 ниже,1
103,спать пора куни пони прочитал думаю ебнулись что-ли,1
104,говорить человек наркотой суд постановил иное ?,0
105,прост носил особо часто другие носки режиме живут гораздо меньше,1
106,ограничение связано конструктивом тележки скоростную тележку делали дпм пассивную предназначение малодеятельные участки дорог-там 100 наберёшь состояние рельсов,1
107,название темы - описание товара али экспресс,1
108,безвиз позволяет жить работать ес хохлы нахуй никому нужны виз туристических целей,1
109,люди угадывали микроволновка телевизор,0
110,мама приезжает гости возмущается знает дом мои правила,0
111,комент тему волны тазике запускать бабушка выражалась нашим правосудием ? ? ? делают вопиющих делах уродов конечных добрались большая радость,1
112,снег бывает часто весь год двор закрытый дорогу трактор чистит снег сзади огороде двери мангала чищу,1
113,суть условии страхования вкладов тд заморочки возможны день человек одинок хочет случае чп бегать просить долг таких вариантах заначка выручит,0
114,страшная мужеподобная проститутка мог её изнасиловать ?,1
115,указание сварщик председатель горисполкома ?,1
116,войне японией фильм события халхин-голе - слушайте той стороне смотрел хорошие отзывы китайском фильме багряный закат ziri purple sunset 2001,1
117,город спб зашел личный кабинет фкр раздел план ремонта дому 2021-2024 запланировано заменить 5 лифтов доме реально доме 2 лифта,1
118,тс тратьте время флудера рисуйте ждем !,1
119,жизни видел 20 дней подряд солнца просто серое однотонное небо статистически архангельске ананасы растут,1
120,исходя пропорций потолка 4000 мм пластиковые двери 3000 мм дом гуливера ?,1
121,29. само собой дело стаже сфере конкретном месте работы таких вакансий городе единицы список требований колоссален зп идут десятилетиями ошибаясь сферой деятельности местом работы,0
122,ладно буду лезть дебри давно отбилась авторам приносит никакой прибыли буду спрашивать откуда такие сведения сколько килограммах давно отбилась просто спрошу каких хуёв яндекс гугл эпл спотифай монопенисуально должны предоставлять свои облачные сервисы бесплатно ?,1
123,также будут британцы говорить,0
124,сколько развод ? та тонкая моральная граница ?,0
125,сделал дикарями ? общественное бытие которое сложилось стране ? почему-то предпочтете делить людей правильных неправильных развивать неразвитых,0
126,прочитал токсичная группа ...,1
127,колбасной цех профессионалы 80 левла переработке мяса 3й категории сделают будит пахнуть вкусно глюкомат коровьи сиська конские залупы бычие хуи туалетная бумага волшебник,1
128,сволочь ещё некоторые жалуются планете заботимся вон оказывается,1
129,просто изначально пост должен рейтинга т.к просто тема обсуждения. как-то исправить рейтин рейтинга неплохо,0
130,пенопласт боится солнца какие высокие температуры ? пять лет зашит сарай товарища коричневым профлистом.в прошлом году снимали одну стену пристройки.под листом пенопласт белый вчера укладывали.и забыл дописать солнечная сторона,0
131,должна адекватная зарплата мог позволить кредитов несколько миллионов потратить покупку квартиры ? получаю 90к месяц могу позволить,0
132,временный медотвод показаниям причины отвода уйдут индивидуальный график,1
133,весьма нишевый певец песни неплохие острых поднимают отличие шнура думать заставляют сказать антонов целом достойнее шнура - правильно просто жанр,0
134,альберту поехали время альберте неплохая поддержка иммигрантов идти колледж учить язык получать стипендию которой хватало скромную жизнь других провинциях такого тех пор сожалению альберта поменялась таких социальных программ нету,1
135,учебная тревога м.б детей попросить накинуть тёплое знали учителя тревога соседнее здание школы 100м нашей идти минуту ...,1
136,"венты мля йбм пс2 винта пачки флопов 5,25 360кб грузились .. появилась тяга пк этиже 1,2 мб",1
137,цемент точно хороший !,0
138,слову понравилось набоков считал роман одним самых херовых своём творчестве,1
139,осталось дождь президент ! !,0
140,б люксембург сказал приезжай .. питер нижний охота чет,1
141,например невыезд стране таких профессий представителям которой беларусь ...,0
142,ето протяжении 2 месяцев дом новый мусоропроводом проблем разу,1
143,исходных параметров кондёр большим запасом ещё надолго хватит,1
144,подруга точно также радовалась,1
145,всё возможно нашей жизни .... интересного неизведанного ... скажешь точно,1
146,гусары ! ! ! ! молчать ! ! !,1
147,пост удалили тс забанили ? кому найдут способ,1
148,рядом работой фирменный магазин одного производителей постоянно очереди минимум 5 человек любое время дня прохожу мимо малые объёмы ?,1
149,полностью 70 диалогов ?,1
150,5к ? 90е знали такое 5к денег таких таких целей имели сено дрова добывали собственным трудом,1
151,девушкой такие вопросы особо волнуют,0
152,вангую твоего папы явы,1
153,слышимость большая прокатит,0
154,120 144гц tn матрицы умеют курсе,1
155,нахуя налоги платим пусть сами бюджет пополняют,1
156,сразу поменял спорта удобнее стало,0
157,понимаю проблема просто заменить позвонил часа покупки увидел проблему явный обман покупателя,0
158,думаю раньше когда- давно люди херово жили денег впритык хозяйством занималась основном женщина виднее продукты подешевле взять важнее мужу новые ботинки купить ребенка школе одеть ребенок год старой куртке походит холодильник будем копить мужику этим самому заниматься хотелось стал всему райну носиться поисках помидоров подешевле поэтому мужику самому удобнее жене зарплату отдавать б думала копейки семью целый месяц кормить почему отдают знаю пережитки просто,1
159,всё друг - врач-судмедэксперт работает бюро смэ танатологическом отделе проще говоря морге говорил т.наз госзадание которое каждый год спускают сверху минздрава обозначено количество экспертиз которое контора должна выполнить год говоря грубо упрощенно задании написано сколько течение года должно вскрыто трупов количество трупов меньше прошлом году след.год могут урезать финансирование госзадание находится открытом доступе сайте минздрава секретной инфы кол-во будущих трупов берется потолка исходя показателей смертности прошлые годы покопаться глубже особо шокирующего данной новости планирование статистика,0
160,банк каждые несколько месяцев требует сменить пароль входа аккаунт последние 5 паролей подходят жизнь пароля придумала нужно минимум шесть,1
161,приказ обычно вместе трудовой книжкой дают могу представить ситуацию книжку выдали приказ выдали,1
162,квотирование слышал позитивную дискриминацию немного основном женщин возраст семейное положение оффера страховки релокации пруф спрашивают приема работу ? з.ы разу алапаевске стокгольме живу последние 4 года работаю большой компании разу сталкивался хотя швеция явно пике равноправия,1
163,деревни тайге редко встречаются тому далеко города,1
164,цены сильно отличаются токио ? переезжаю туда осенью навожу справки,0
165,красивый мужик пидр ..,1
166,весьма спорно.чайковский ничем хуже,0
167,работать продовольственных магазинах требуется иметь медицинскую книжку периодически проходить медосмотр этим японии ?,1
168,первый пункт всё объясняет слишком времени нужно навыков хотя целом скорее дело избирательности котов загрузки,0
